,neighbourhood_cleansed,review_scores_cleanliness,review_scores_checkin,availability_60,host_total_listings_count,maximum_nights,review_scores_communication,beds,calculated_host_listings_count_entire_homes,review_scores_rating,number_of_reviews,bedrooms,calculated_host_listings_count_private_rooms,number_of_reviews_l30d,review_scores_value,availability_30,review_scores_location,availability_90,accommodates,host_listings_count,number_of_reviews_ltm,latitude,minimum_nights,availability_365,calculated_host_listings_count,price,review_scores_accuracy,longitude
0,la Sagrada Família,4.61,4.76,19,48.0,1125,4.68,6.0,28.0,4.37,42.0,3.0,0.0,0.0,4.32,6,4.78,42,3.0,43.0,3.0,41.40556,1.0,72,28.0,194.0,4.46,2.17262
1,el Besòs i el Maresme,4.9,4.94,28,13.0,32,4.99,4.0,1.0,4.79,79.0,3.0,0.0,0.0,4.64,10,4.62,58,5.0,6.0,7.0,41.41243172529066,3.0,116,1.0,304.0,4.94,2.2
2,el Camp d'en Grassot i Gràcia Nova,4.4,4.89,20,15.0,31,4.88,3.0,3.0,4.46,18.0,2.0,0.0,0.3,4.49,8,4.88,48,6.0,3.0,32.0,41.40566,1.0,319,3.0,211.0,4.45,2.17015
3,el Barri Gòtic,4.59,4.59,39,4.0,120,4.82,1.0,3.0,4.47,20.0,1.0,0.0,1.0,4.35,16,4.76,69,2.0,4.0,12.0,41.38062,5.0,69,3.0,300.0,4.59,2.17517
4,el Barri Gòtic,4.64,4.67,35,4.0,365,4.7,6.0,3.0,4.53,18.0,1.5,0.0,0.3,4.42,9,4.67,65,3.0,4.0,37.0,41.37978,5.0,241,3.0,314.0,4.59,2.17623
5,"Sant Pere, Santa Caterina i la Ribera",4.84,4.91,32,3.0,365,4.94,2.0,1.0,4.85,104.0,1.0,0.0,0.0,4.76,2,4.88,62,2.0,1.0,0.0,41.38512,30.0,337,1.0,87.0,4.85,2.18109
6,la Barceloneta,4.71,4.93,0,1.0,65,4.92,2.0,0.0,4.79,108.0,1.0,1.0,0.0,4.82,0,4.92,0,1.0,1.0,2.0,41.38043,31.0,0,1.0,128.0,4.88,2.19094
7,la Dreta de l'Eixample,4.5,4.82,0,16.0,364,4.82,2.0,4.0,4.46,18.0,1.0,3.0,0.3,4.45,0,4.89,15,4.0,12.0,6.7,41.39631,2.0,278,7.0,164.0,4.55,2.16832
8,el Camp d'en Grassot i Gràcia Nova,4.17,4.51,23,8.0,365,4.46,4.0,3.0,4.26,94.0,2.0,0.0,0.0,4.15,8,4.67,53,4.0,7.0,20.0,41.40568,3.0,295,3.0,190.0,4.36,2.16943
9,el Camp d'en Grassot i Gràcia Nova,4.43,4.92,15,15.0,31,4.95,2.2,3.0,4.65,112.0,2.0,0.0,2.0,4.59,8,4.86,34,6.0,3.0,29.0,41.4057,1.0,305,3.0,240.0,4.81,2.17016
10,el Camp de l'Arpa del Clot,4.45,4.66,0,1.0,90,4.77,3.0,1.0,4.48,18.0,3.0,0.0,1.0,4.5,0,4.8,0,5.0,1.0,12.0,41.41129,10.0,10,1.0,144.0,4.52,2.18193
11,Sant Antoni,4.39,4.88,9,4.0,6,4.85,2.0,0.0,4.65,18.0,1.0,1.0,2.0,4.73,4,4.83,31,2.0,3.0,6.7,41.37793,3.0,303,1.0,128.0,4.75,2.15978
12,el Poblenou,4.7,4.61,35,8.0,200,4.65,3.0,3.0,4.17,115.0,2.0,0.0,0.0,4.09,10,4.8,65,5.0,6.0,12.0,41.40349,1.0,334,3.0,191.0,4.3,2.20414
13,la Vila Olímpica del Poblenou,4.39,4.99,35,15.0,365,4.99,2.0,12.0,4.66,71.0,1.0,0.0,2.0,4.31,13,4.83,65,4.0,12.0,20.0,41.39253234863281,1.0,98,12.0,209.0,4.69,2.19325590133667
