,review_scores_accuracy,review_scores_accuracy,review_scores_location,host_total_listings_count,number_of_reviews,latitude,longitude,availability_60,availability_30,bedrooms,calculated_host_listings_count_entire_homes,accommodates,calculated_host_listings_count_private_rooms,minimum_nights,number_of_reviews_l30d,availability_90,beds,review_scores_rating,maximum_nights,review_scores_cleanliness,review_scores_communication,host_listings_count,review_scores_checkin,availability_365,number_of_reviews_ltm,review_scores_value,calculated_host_listings_count
0,4.793877426390403,4.793877426390403,4.845981243184297,1.0,0.0,19.38382,-99.2,58,28,1.0,1.0,2.0,0.0,1.0,0.0,88,1.0,4.757116810608044,7,4.761881788440568,4.829862595419848,1.0,4.843370556161396,363,0.0,4.725268047982552,1.0
1,4.56,4.56,4.98,13.0,64.0,19.41162,-99.17794,24,1,1.4,4.0,2.9,1.0,1.0,0.0,54,1.9678361335646877,4.58,365,4.7,4.78,12.0,4.87,325,0.0,4.48,8.0
2,4.81,4.81,4.98,4.0,49.0,19.41152,-99.16857,20,3,2.0,2.0,4.0,0.0,2.0,0.0,50,2.0,4.9,30,4.75,4.92,3.0,4.94,325,4.0,4.91,2.0
3,4.9,4.9,4.96,4.0,127.0,19.35614,-99.16308,27,7,1.0,2.0,2.0,1.0,1.6,2.0,57,1.0,4.91,180,4.96,4.98,3.0,4.96,257,7.0,4.92,3.0
4,5.0,5.0,4.91,7.0,11.0,19.43211,-99.19327,9,9,1.0,3.0,2.0,0.0,1.0,0.0,20,1.0,4.91,365,5.0,4.73,5.0,5.0,275,0.0,4.82,3.0
5,4.793877426390403,4.793877426390403,4.845981243184297,4.0,0.0,19.35416,-99.16488,0,0,2.0,1.0,2.0,2.0,1.0,0.0,0,1.9678361335646877,4.757116810608044,730,4.761881788440568,4.829862595419848,3.0,4.843370556161396,0,0.0,4.725268047982552,3.0
6,4.91,4.91,4.75,8.0,27.0,19.40826,-99.18659,17,9,1.4,5.0,2.9,2.0,2.0,0.0,30,1.6,4.88,365,4.84,4.9,7.0,4.92,230,36.0,4.9,7.0
7,4.87,4.87,4.97,2.0,108.0,19.39675,-99.17581,10,0,1.0,0.0,2.0,2.0,1.6,0.0,40,1.0,4.84,90,4.61,4.95,2.0,4.98,315,11.0,4.81,2.0
8,4.96,4.96,4.98,3.0,81.0,19.3461,-99.15911,0,0,2.0,2.0,6.0,1.0,2.0,0.0,0,1.9678361335646877,4.86,365,4.95,4.89,3.0,4.98,158,9.0,4.91,3.0
9,5.0,5.0,4.96,2.0,24.0,19.34326,-99.19303,59,29,3.0,1.0,6.0,0.0,1.6,0.0,85,3.0,5.0,90,5.0,5.0,1.0,5.0,353,2.0,4.74,1.0
10,4.9,4.9,4.92,2.0,71.0,19.34034,-99.18345,1,1,1.0,0.0,1.0,2.0,3.0,1.0,17,1.0,4.96,200,4.92,4.94,2.0,4.92,292,17.0,4.89,2.0
11,4.6,4.6,4.93,2.0,30.0,19.40592,-99.1691,60,30,1.0,0.0,1.0,1.0,2.0,0.0,90,1.0,4.83,1125,4.97,4.77,2.0,4.97,365,2.0,4.73,1.0
12,4.94,4.94,4.97,5.0,27.0,19.35445,-99.16251,23,0,1.0,0.0,2.0,5.0,2.0,0.0,44,1.0,4.93,365,4.97,4.91,5.0,4.96,292,0.0,4.94,5.0
13,4.86,4.86,4.92,2.0,49.0,19.4,-99.18356,51,21,1.0,0.0,1.0,1.0,1.0,1.0,81,3.0,4.92,14,4.82,4.96,2.0,4.98,356,8.0,4.88,1.0
14,5.0,5.0,5.0,4.0,6.0,19.35164,-99.15289,53,23,3.0,2.0,6.0,1.0,1.6,0.0,83,3.0,5.0,21,5.0,5.0,3.0,5.0,173,0.0,5.0,3.0
15,4.88,4.88,4.95,3.0,27.0,19.41317,-99.15735,1,0,1.0,0.0,2.0,1.0,2.0,0.0,30,2.0,4.88,28,4.62,4.95,1.0,4.95,30,6.0,4.87,1.0
16,5.0,5.0,4.9,2.0,17.0,19.39129,-99.1888,0,0,1.0,0.0,2.0,2.0,3.0,0.0,0,1.0,4.94,1125,5.0,5.0,2.0,4.94,0,0.0,4.81,2.0
17,4.88,4.88,4.9,8.0,52.0,19.4239,-99.1689,36,6,1.0,1.0,2.0,0.0,3.0,1.0,66,1.0,4.81,365,4.73,4.88,2.0,4.9,341,7.0,4.73,1.0
18,4.64,4.64,4.92,8.0,104.0,19.41057,-99.1773,0,0,1.0,6.0,4.0,0.0,1.6,0.0,0,1.9678361335646877,4.57,365,4.64,4.88,6.0,4.84,0,0.0,4.51,6.0
19,4.58,4.58,5.0,8.0,24.0,19.41057,-99.1773,0,0,1.0,6.0,3.0,0.0,1.6,0.0,0,1.9678361335646877,4.67,365,4.58,4.79,6.0,4.83,0,0.0,4.63,6.0
20,4.71,4.71,4.96,8.0,77.0,19.41057,-99.1773,0,0,1.0,6.0,2.0,0.0,1.0,0.0,16,1.0,4.71,180,4.81,5.0,6.0,4.88,16,6.0,4.69,6.0
21,4.76,4.76,4.87,5.0,27.0,19.41412,-99.17891,8,7,2.0,2.0,3.0,0.0,2.0,1.0,8,2.0,4.62,365,4.66,4.79,2.0,4.77,250,20.0,4.63,2.0
22,4.78,4.78,4.89,7.0,48.0,19.40915,-99.17321,0,0,1.0,6.0,3.0,0.0,1.6,0.0,0,1.0,4.63,360,4.8,4.83,6.0,4.67,119,0.0,4.61,6.0
